ticket_id,subject,body,customer_id,customer_tier,product,source_channel,created_at,repo_name,issue_url,issue_state,github_labels
GH-911220178,`vm_service` fails in an existing project only,"Android Studio prompted me to upgrade something, and it became like this directly.

```shell
fan@iMac-Pro example % flutter run
Launching lib/main.dart on EVA AL10 in debug mode...
Running Gradle task 'assembleDebug'...                                  
Running Gradle task 'assembleDebug'... Done                         4.8s
✓  Built build/app/outputs/flutter-apk/app-debug.apk.
Error connecting to the service protocol: failed to connect to http://127.0.0.1:51630/icvvIkylE_I=/
```

What should I do if I restart the computer and the phone does not work.

It seems that the designated ports are invalid.
```shell
fan@iMac-Pro example % flutter run --observatory-port=50443
Launching lib/main.dart on EVA AL10 in debug mode...
Running Gradle task 'assembleDebug'...                                  
Running Gradle task 'assembleDebug'... Done                      2,744ms
✓  Built build/app/outputs/flutter-apk/app-debug.apk.
Error connecting to the service protocol: failed to connect to http://127.0.0.1:51800/zD_baP3Bwl8=/
```

flutter run --observatory-port=50443 -v :
https://gist.github.com/Aaron009/e1bd58be81871d60b511489aec3308c7

It is strange that a new blank project does not have this problem.

It seems to be caused by this project, I uploaded all the code, please help us to take a look
https://github.com/Waytoon/flutter_memory_leak_check",Aaron009,Standard,flutter/flutter,GitHub Issue,2021-06-04T07:38:04Z,flutter/flutter,https://github.com/flutter/flutter/issues/83978,closed,"waiting for customer response, tool, dependency: dart, P2, team-tool, triaged-tool"
GH-1301324271,(App) CWA red bar informs wrong about free test option,"After getting red risk bar the app shows old information:

""Lassen Sie sich testen, auch wenn Sie keine Symptome haben, Bei einer Warnung über ein erhöhtes Risiko [..] haben Sie Anspruch auf einen kostenlosen Test.""

§4a TestV (2) informs that testing with red bar in CWA is not free and need additional payment of 3 EUR. 
source: [https://www.gesetze-im-internet.de/coronatestv_2021-10/__4a.html]

This wrong information cause conflicts with customers who asking for free rapid test because of CWA red warning bar.

I just got a screenshot today which looks like iOS device. Maybe android is also affected.
Customer told that his CWA would be newest version.

## Possible Fix

Please remove the sentence ""Bei einer Warnung über ein erhöhtes Risiko [..]""",globberich,Standard,corona-warn-app/cwa-documentation,GitHub Issue,2022-07-11T22:51:57Z,corona-warn-app/cwa-documentation,https://github.com/corona-warn-app/cwa-documentation/issues/909,closed,bug
GH-545659679,Unused global option warning for driver,"## Brief outline of the bug

When compiling the MWE with latex-dev (in DVI mode), it shows a warning:

```
LaTeX Warning: Unused global option(s):
    [dvipdfmx].
```

but the option is actually used when expl3 is preloaded into the format, in order to select the backend (in this case `l3backend-dvipdfmx.def`).  The global driver option that can be interpreted as an expl3 backend should be free from the warning.

## Minimal example showing the bug

```latex
\RequirePackage{latexbug}
\documentclass[dvipdfmx]{article}
\begin{document}
a
\end{document}
```

## Log file (required) and possibly PDF file  

* [drv.log](https://github.com/latex3/latex2e/files/4025285/drv.log)",aminophen,Standard,latex3/latex3,GitHub Issue,2020-01-06T08:39:24Z,latex3/latex3,https://github.com/latex3/latex3/issues/657,closed,bug
GH-1561644640,DNA Infuser does not modify organs following the recent changes.,"## Round ID:
7544

## Reproduction:
The DNA infuser does not apply organ changes following the 24th of january skyrat specific DNA infuser changes. tested with carp corpses, playing a ""humanoid"" character with vanilla organs.",kylecorn1996,Standard,Skyrat-SS13/Skyrat-tg,GitHub Issue,2023-01-30T02:48:33Z,Skyrat-SS13/Skyrat-tg,https://github.com/Skyrat-SS13/Skyrat-tg/issues/19041,closed,Bug
GH-2346994031,Unstable input in Numeric Stepper,"### Describe the bug

The desired numeric stepper input values are not being retained and the values fluctuate not allowing the desired input. This is occurring with latest release of the ruffle.js. I am not sure when this issue was introduced to the ruffle code base, but the ruffle.js from February 23, 2022 does not have this issue.

### Expected behavior

When the numeric stepper value is increased or decreased using the UI it should either increment by 1 or decrement by 1 and value should only change by the user interacting with UI.

### Content Location

Please vis the following url: [https://udico.co/dct/die-configuration-tool-testing](https://udico.co/dct/die-configuration-tool-testing). The password to access this page is 'ruffle'

### Affected platform

Desktop app

### Operating system

macOS Sonoma

### Browser

Safari

### Additional information

I will be trying newer versions of the ruffle on our stable application to see at what date it breaks.",rkontra,Standard,ruffle-rs/ruffle,GitHub Issue,2024-06-11T18:01:29Z,ruffle-rs/ruffle,https://github.com/ruffle-rs/ruffle/issues/16684,closed,"bug, regression"
GH-1230284804,field 'day' missing in date table,"### Describe the bug

Opening a org file will produce the error seen in the screenshot below. It can be shushed away and I have at least one file that will show the error three times before going back to the actual buffer

### Steps to reproduce

See minimal `init.lua`

### Expected behavior

No error

### Emacs functionality

_No response_

### Minimal init.lua

@kristijanhusak sorry, but my setup is getting more elaborate by the day. Before I go down this rabbit-hole, do you have any hunch what could cause this? The `minimal_init.lua` does not reproduce the issue. 

edit: actually, `minimal_init.lua` does reproduce the error, but only on my large, personal files. Will see if I can isolate the cause.

### Screenshots and recordings

![image](https://user-images.githubusercontent.com/12050098/167502492-d1e0ef78-a250-401a-a7dd-e2834aa9787c.png)


### OS / Distro

Ubuntu 20.04

### Neovim version/commit

0.7.0

### Additional context

Not sure if related, but at the same time this issue popped up, the time to load the agenda exploded. It takes roughly 5 seconds, same for other agenda commands (forward, backward, view month, etc.)

edit: also not sure if related, but I cannot fold headlines once they have been opened",jgollenz,Standard,nvim-orgmode/orgmode,GitHub Issue,2022-05-09T21:45:51Z,nvim-orgmode/orgmode,https://github.com/nvim-orgmode/orgmode/issues/284,closed,bug
GH-2116690825,bug: helix themes are broken missing attribute declarations,"### Did you check docs and existing issues?

- [X] I have read all the tokyonight.nvim docs
- [X] I have searched the existing issues of tokyonight.nvim
- [X] I have searched the existing issues of plugins related to this issue

### Neovim version (nvim -v)

NVIM v0.10.0-dev-2066+g1813661a6-Homebrew

### Operating system/version

macOS 14.2.1

### Describe the bug

This is specific to helix. Themes that are completely missing attribute definitions as of https://github.com/folke/tokyonight.nvim/commit/9c5ef1e69ad2bd73b4ebe945e7e02284f2658743#diff-7d0281c0678c4322e968c0aaba8a155200ffce96cc30be6005b66e6f536707ccR25

### Steps To Reproduce

Copy any of the generated themes for helix and attempt to set them. They do nothing. Go to the very first commit and use the files that were generated there and notice that they work.

### Expected Behavior

The themes are applied.

### Repro

```Lua
Look at the commit here: https://github.com/folke/tokyonight.nvim/commit/9c5ef1e69ad2bd73b4ebe945e7e02284f2658743#diff-7d0281c0678c4322e968c0aaba8a155200ffce96cc30be6005b66e6f536707ccL25
```",blakedietz,Standard,folke/tokyonight.nvim,GitHub Issue,2024-02-03T21:55:54Z,folke/tokyonight.nvim,https://github.com/folke/tokyonight.nvim/issues/488,closed,bug
GH-623948199,Error: Cannot create filesystem ... image data corrupted,"I tried 2 times clean install (delete all files except install script).

I would appreciate any help.

Thank you.

![image](https://user-images.githubusercontent.com/580593/82765163-92f0a380-9e14-11ea-825b-cbce6a72082d.png)",michal-minich,Standard,myspaghetti/macos-virtualbox,GitHub Issue,2020-05-24T21:17:35Z,myspaghetti/macos-virtualbox,https://github.com/myspaghetti/macos-virtualbox/issues/213,closed,bug
GH-2430849982,Files sometimes does not remember my sorting preferences for each folder,"### Description

For some folders, I have set the sorting to be A to Z, and in my Files app, the default sorting is most recent to least recent. I found that sometimes, Files does not remember that for this particular folder, I asked the sorting to be A to Z, and will do most to least recent
This is a bit similar to #15797 , but not entirely because I'm not sure that this happens only when updating, and I didn't understand how OP fixed the issue

### Steps To Reproduce

I don't really know, just have a folder to not be the same sorting as the default sorting

### Requirements

- e.g. Fix crash that occurs when...
Folder sorting preferences should always be remembered by Files

### Files Version

3.5.24.0

### Windows Version

10.0.22631.3880

### Log File

[debug.log](https://github.com/user-attachments/files/16382927/debug.log)",TheWonderfulTartiflette,Standard,files-community/Files,GitHub Issue,2024-07-25T19:32:47Z,files-community/Files,https://github.com/files-community/Files/issues/15870,closed,"bug, needs - additional info, needs - reproducing"
GH-1040448256,weight here will lead to zero loss in the dice loss,"https://github.com/open-mmlab/mmdetection/blob/db256a14bb7018ad36eed104ea0ce178a0d4050c/mmdet/models/losses/utils.py#L43
In the `mmdet.models.roi_heads.mask_heads.fcn_mask_head.py#L173`, the weight was initialized to zeros using `torch.zeros_like(labels)`. 

It will lead to zero loss when call `loss = weight_reduce_loss(loss, weight, reduction, avg_factor).` in the `mmdet.models.losses.dice_loss.py#L44`

I suggest that add 
```python
    if weight.sum() == 0:
        weight = torch.ones_like(weight)
    else:
        weight = weight/weight.sum()
```
before call `mmdet.models.losses.dice_loss.py#L44`",boyden,Standard,open-mmlab/mmdetection,GitHub Issue,2021-10-31T11:48:37Z,open-mmlab/mmdetection,https://github.com/open-mmlab/mmdetection/issues/6416,closed,"bug, enhancement"
GH-1776241750,"Node wrapped in Transforms. wrapNodes, with Chinese input method exception at the last position, Abnormal results","**Description**
 Node wrapped in Transforms. wrapNodes, with Chinese input method exception at the last position

**Recording**
English input method:
![1](https://github.com/ianstormtaylor/slate/assets/57823909/7c6aaca1-1e22-46d3-a9f8-a3d3b2a76e3a)

Chinese input method:
1.  Not focusing to the end

![2](https://github.com/ianstormtaylor/slate/assets/57823909/4efb8529-d611-4d7d-883a-27879959b5e4)

2. Focus to the end, Abnormal results
![3](https://github.com/ianstormtaylor/slate/assets/57823909/f50b44d2-e481-4d5f-b164-efb96839d33f)

**Sandbox**
 demo:  https://www.slatejs.org/examples/inlines

**Steps**
1. click to the last position of the wrapNodes
3. switch to Chinese input methods for computers
4. tap any letter on the keyboard
5. see error

**Expectation**
resolve

**Environment**
- Slate Version: www.slatejs.org/examples version
- Operating System: windows 10
- Browser: Chrome 114.0.5735.134",NgChiKin,Standard,ianstormtaylor/slate,GitHub Issue,2023-06-27T07:09:41Z,ianstormtaylor/slate,https://github.com/ianstormtaylor/slate/issues/5471,closed,"bug, ⚑ cross platform"
GH-2368473478,A dot at the end of a folder name will cause sync error,"### What happened?

My folder was out of sync and I noticed that there was an error cause by the folder name.
Folder name : ""Mes cousins pref."" (with a dot at the end)
Error in log : I don't have the exact error because when I fixed it it disappeared but it was something saying that there was an argument error with ""mkdir Mes couses pref.""
The client is Android, the serveur is Ubuntu

### Syncthing version

v1.27.8

### Platform & operating system

Linux (64-bit Intel/AMD)

### Browser version

not relevant

### Relevant log output

```shell
I don't have the log anymore but it was something like it could not create the directory : argument error with ""mkdir Mes couses pref.""
```",hyzteric,Standard,syncthing/syncthing,GitHub Issue,2024-06-23T09:42:32Z,syncthing/syncthing,https://github.com/syncthing/syncthing/issues/9589,closed,"bug, needs-triage"
GH-201921221,Should we add validation of the RIDs?,"## Repro

1. Install latest CLI from dotnet/cli
2. `mkdir app && cd app`
3. `dotnet new`
4. Open up the project and change the target framework to be `net451`.
5. Add `<RuntimeIdentifiers>win10-x64;win19-x12</RuntimeIdentifiers>` to the project.
6. Run `dotnet restore`.
7. Run `dotnet publish -r win19-x12`.

I would expect the operation to fail since the RID is obviously not valid. However, it succeeds and the output folder is created with the bits in it.",blackdwarf,Standard,dotnet/sdk,GitHub Issue,2017-01-19T17:15:09Z,dotnet/sdk,https://github.com/dotnet/sdk/issues/690,closed,"Bug, Urgency-Soon"
GH-2020713786,PATH not respected in hooks,"**Describe the bug**
I use [devenv](https://devenv.sh) and [direnv](https://direnv.net) to make some applications available on a per-directory basis by setting the PATH environment variable. I use it especially to provide project specific git hooks. However, when committing with gitui, those applications don't seem to be available.

**To Reproduce**
Steps to reproduce the behavior:
1. Create a script somewhere, lets call it `my-own-script`
2. Add its parent to the `PATH`
3. Create a pre-commit hook that uses `my-own-script`
4. Try to commit using gitui
5. See it fail because it can't find `my-own-script`

**Expected behavior**
gitui being able to see applications in the PATH

**Context (please complete the following information):**
 - NixOS unstable
 - gitui 0.24.3",Lykos153,Standard,extrawurst/gitui,GitHub Issue,2023-12-01T11:40:37Z,extrawurst/gitui,https://github.com/extrawurst/gitui/issues/1967,closed,"bug, help wanted"
GH-332966790,"How to close Quadrotor sim, without crashing Unreal","Hey all,
I am using Unreal on Ubuntu for Airsim.

Everytime i hit 'esc' or try to shut down the simulation in quadrotor mode, Unreal crashes.
This doesn't happen with car mode.

Anyone know how to kill the unreal airsim simulation while in quadrotor mode, without it crashing?

Thanks.",CaptainJL,Standard,microsoft/AirSim,GitHub Issue,2018-06-16T07:06:45Z,microsoft/AirSim,https://github.com/microsoft/AirSim/issues/1167,closed,bug
GH-871584722,Support S3 URI format for package artifact,"### Use case description

Serverless supports downloading and using a package artifact from an S3 bucket, but it only allows the outdated global legacy path style S3 URL format (e.g. `s3.amazonaws.com/bucket/path`) which can be confusing when the AWS web console will give a URL like `bucket.s3.us-west-2.amazonaws.com/path`.

There are other S3 bucket URI formats.

https://docs.aws.amazon.com/AmazonS3/latest/userguide/access-bucket-intro.html

### Proposed solution

Under the hood, Serverless is just parsing this string for the bucket and path, and then making a call to AWS JS SDK `S3.getObject()`

I propose Serverless should add support for the more basic and easier to parse S3 URI format: `S3://bucket-name/key-name` and docs should suggest using this format instead of the legacy format.",zachwhaley,Standard,serverless/serverless,GitHub Issue,2021-04-29T22:05:18Z,serverless/serverless,https://github.com/serverless/serverless/issues/9403,closed,"bug, help wanted, cat/deployment"
GH-1109488634,"Gson serializes anonymous inner class instance as ""null""","# Gson version
2.8.9


# Java 
11

# Description
Give a class definition:
```
  class Links {
      public Map<String, String> discovery;
  }
```
The result of running this is ""null"":
```
new Gson().toJson(new Links() {{
            discovery = Map.of(""foo"",""bar"")
            }}),
```

This result of running this is as expected (`{ ""discovery"": { ""foo"":""bar"" } }`):
```
new Gson().toJson(new Links() {{
            discovery = Map.of(""foo"",""bar"")
            }}, 
            Links.class)
```

## Expected behavior
Both outputs should be the same


This is very problematic, it means the serialization will fail unexpectedly and silently when somebody uses an inner class possibly in completely unrelated part of the code.",jakub-bochenski,Standard,google/gson,GitHub Issue,2022-01-20T16:07:31Z,google/gson,https://github.com/google/gson/issues/2059,closed,bug
GH-1659480864,[BUG] btn-action <a>/<button> does not follow disabled state,"**Describe the bug**

When using disabled action buttons, they shoud not react to mouseover/show a hover effect, but they do.

**Device**

 - Browser: Firefox 111.0.1
 - OS: Linux/Manjaro current
 - Screen size 1600x900

**To reproduce**

Write a card or table td with an action button which is a dropdown, and the toggler is not an <a> element, but a <button>, which is valid bootstrap (and good if you don't want the user to easily see the link in the bottom of the browser when hovering).
This is a django template
```django
<button
    class=""btn-action dropdown-toggle""
    type=""button""
    id=""dropdown-action-{{ day_entry.date.isoformat }}""
    data-bs-toggle=""dropdown""
    aria-expanded=""false""
    {% if not actions_enabled %} disabled{% endif %}
>
  <i class=""bi bi-three-dots-vertical""></i>
</button>
<ul class=""dropdown-menu"" aria-labelledby=""dropdown-action-{{ day_entry.date.isoformat }}"">
  {% if day_entry.can_add_holiday %}
    <li><a class=""dropdown-item"" href=""#"">Request holiday</a></li>
  {% endif %}
</ul>
</div>
```

when using the <a> you'd have to use `class=""... disabled""` instead of a `disabled` attribute, but it doesn't work neither.
The button does ""highlight"" on hovering.

However, the underlying function (dropdown) does work as intended (does not drop down) when disabled - as this is done by bootstrap.

Seems to be a simple CSS issue.",nerdoc,Standard,tabler/tabler,GitHub Issue,2023-04-08T10:33:12Z,tabler/tabler,https://github.com/tabler/tabler/issues/1524,closed,bug
GH-2229682833,Sbt compile cannot include the dependency jar to classpath,"steps
>
1.Add new resolver such as 

```scala
resolvers ++= Seq(
  ""github-package"" at ""https://maven.pkg.github.com/xxx/*"",
)
```
2.Add the dependency like this
```scala
libraryDependencies ++= Seq(
    ""com.xxx.yyy"" %% ""groupid"" % ""0.21.1"",
)
```

problem
>
When I run `sbt compile` the dependency jar from that repo can be download successfully, but finally it will be failed and it will pop this error: object xxx is not memeber of the package...... I am sure the class(com.xxx.AuditEvent) is under the dependency jar.
Error Info:
```
[info] compiling 67 Scala sources to /Users/ethan/global/orgs/target/scala-2.12/classes ...
[error] /Users/ethan/com.test.AuditService.scala:3:23: object audit is not a member of package com.xxx
[error] import com.xxx.AuditEvent
```
note
>
sbt is 1.9.8 and scala 2.12

Workaround
>
If I copy the dependency jar from 
Users/ethan/Library/Caches/Coursier/v1/https/maven.pkg.github.com/com/xxx/1.0.6/xxx.jar
to
Users/ethan/Library/Caches/Coursier/v1/https/repo1.maven.org/com/xxx/1.0.6/xxx.jar
It can work well, so I guess that , sbt can add the jars from https/repo1.maven.org(default resolver) to classpath but can not add the new resolver repo such as `maven.pkg.github.com(private resolver)` to the classpath.",ethan2000,Standard,sbt/sbt,GitHub Issue,2024-04-07T10:25:11Z,sbt/sbt,https://github.com/sbt/sbt/issues/7526,closed,Bug
