ticket_id,subject,body,customer_id,customer_tier,previous_ticket_count,product,source_channel,created_at,department,intent,urgency,refund,churn,escalation
BAL-A058,Annual renewal billing,Could you confirm when the annual renewal will be charged and what the invoice includes?,CUS-B058,Pro,4,LayaDesk,Web,2026-09-24T02:14:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A013,Annual billing question,Please explain when the annual renewal will be billed and what it covers.,CUS-B013,Standard,1,LayaDesk,Chat,2026-09-24T07:29:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-R031,Enterprise pricing,Could you send pricing for an enterprise plan with 200 agents?,CUS-0042,Standard,1,LayaDesk,Web,2026-09-22T20:47:00+00:00,Sales,Sales Inquiry,Medium,False,False,False
BAL-A051,Annual billing question,Can you explain when the annual renewal will be invoiced and which services it covers?,CUS-B051,Standard,0,LayaDesk,Web,2026-09-24T03:03:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A012,Annual billing question,Could you tell me when the annual renewal will be billed and what it includes?,CUS-B012,Standard,0,LayaDesk,Web,2026-09-24T07:36:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A072,Annual billing question,Could you clarify when the annual renewal will be billed and what it covers for our team?,CUS-B072,Standard,5,LayaDesk,Web,2026-09-24T00:36:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A023,Annual renewal billing,Can you explain when the annual renewal will be billed and which plan it covers?,CUS-B023,Standard,2,LayaDesk,Email,2026-09-24T06:19:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A021,Annual renewal billing,Can you explain when the annual renewal will be billed and what services it covers?,CUS-B021,Standard,0,LayaDesk,Web,2026-09-24T06:33:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A056,Annual renewal billing,Can you explain when the yearly renewal will be billed and what is included?,CUS-B056,Pro,1,LayaDesk,Web,2026-09-24T02:28:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A003,Annual billing question,Can you explain when the yearly renewal will be billed and what it covers?,CUS-B003,Standard,0,LayaDesk,Web,2026-09-24T08:39:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A020,Annual renewal billing,Can you explain when the annual subscription renewal will be billed and what it covers?,CUS-B020,Standard,2,LayaDesk,Email,2026-09-24T06:40:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-R050,How routing works,Can you explain how an incoming ticket reaches the right queue?,CUS-0037,Pro,0,LayaDesk,Email,2026-09-22T14:30:00+00:00,General Support,Product Question,Low,False,False,False
BAL-A006,Annual billing question,Can you explain when the annual renewal will be billed and what services it covers?,CUS-B006,Standard,0,LayaDesk,Web,2026-09-24T08:18:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-R019,Checkout outage,Checkout is failing for all of our customers in production right now.,CUS-0079,Standard,5,LayaDesk,Chat,2026-09-23T03:43:00+00:00,Technical Support,Bug Report,Critical,False,False,True
BAL-A057,Annual billing question,Can you explain when the annual renewal will be charged and what it covers for our team?,CUS-B057,Standard,5,LayaDesk,Email,2026-09-24T02:21:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A036,Annual billing question,Can you explain when the annual renewal will be billed and which workspace it covers?,CUS-B036,Standard,0,LayaDesk,Web,2026-09-24T04:48:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-R025,Remove former employee,A former employee still has access. Please help revoke their account today.,CUS-0019,Pro,3,LayaDesk,Email,2026-09-23T00:15:00+00:00,Account Support,Account Change,High,False,False,True
BAL-R012,Dashboard won't load,The dashboard stays blank after login on Chrome. I can reproduce it every time.,CUS-0043,Standard,4,LayaDesk,Web,2026-09-23T05:14:00+00:00,Technical Support,Bug Report,High,False,False,False
BAL-A071,Annual renewal billing,Please let me know when the annual renewal will be billed and which workspace it covers?,CUS-B071,Standard,0,LayaDesk,Chat,2026-09-24T00:43:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A060,Annual renewal billing,When will the annual renewal be billed and what it covers?,CUS-B060,Standard,0,LayaDesk,Chat,2026-09-24T02:00:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A033,Annual billing question,Can you explain when the annual renewal will be billed and what the charge includes?,CUS-B033,Standard,0,LayaDesk,Web,2026-09-24T05:09:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A064,Annual billing question,When will the annual renewal be billed and which services it covers?,CUS-B064,Standard,5,LayaDesk,Web,2026-09-24T01:32:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A039,Annual billing question,Can you explain when the annual renewal will be charged and which services it covers?,CUS-B039,Standard,0,LayaDesk,Web,2026-09-24T04:27:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A049,Annual billing question,Can you explain when the annual renewal will be charged and what the invoice includes?,CUS-B049,Standard,1,LayaDesk,Chat,2026-09-24T03:17:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A042,Annual billing question,Can you explain when the annual renewal will be charged and what is included?,CUS-B042,Standard,0,LayaDesk,Web,2026-09-24T04:06:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A025,Annual renewal billing,When will the annual renewal be billed and what does it cover?,CUS-B025,Standard,1,LayaDesk,Chat,2026-09-24T06:05:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A038,Annual billing question,Can you explain when the annual renewal will be billed and what the invoice includes?,CUS-B038,Standard,2,LayaDesk,Email,2026-09-24T04:34:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-R028,Transfer ownership,The current workspace owner left. We need to transfer ownership to a new admin.,CUS-0070,Enterprise,0,LayaDesk,Email,2026-09-22T23:36:00+00:00,Account Support,Account Change,Medium,False,False,False
BAL-A068,Annual renewal billing,Can you explain when the annual renewal will be invoiced and what it covers for our account?,CUS-B068,Standard,1,LayaDesk,Web,2026-09-24T01:04:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-R018,Email notifications delayed,Ticket notification emails are arriving several hours late.,CUS-0062,Standard,4,LayaDesk,Web,2026-09-23T03:56:00+00:00,Technical Support,Bug Report,Medium,False,False,False
BAL-R024,Update company name,Please help change the company name shown on our workspace profile.,CUS-0002,Standard,2,LayaDesk,Chat,2026-09-23T00:28:00+00:00,Account Support,Account Change,Low,False,False,False
BAL-A065,Annual billing question,Could you clarify when the annual renewal will be billed and what it covers?,CUS-B065,Standard,3,LayaDesk,Chat,2026-09-24T01:25:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A047,Annual billing question,Can you explain when the annual renewal will be charged and which workspace it covers?,CUS-B047,Standard,2,LayaDesk,Email,2026-09-24T03:31:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A011,Annual billing question,"What date will the annual renewal be billed, and what does the charge cover?",CUS-B011,Standard,2,LayaDesk,Email,2026-09-24T07:43:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-R004,Refund for accidental upgrade,I upgraded by mistake today. Please refund the upgrade payment.,CUS-0069,Standard,4,LayaDesk,Web,2026-09-23T09:08:00+00:00,Billing,Refund Request,Medium,True,False,False
BAL-R011,Production API down,Our production API has been down for 45 minutes and customers cannot checkout.,CUS-0026,Pro,3,LayaDesk,Email,2026-09-23T05:27:00+00:00,Technical Support,Bug Report,Critical,False,False,True
BAL-A034,Annual billing question,Can you explain when the annual renewal will be billed and what our payment covers?,CUS-B034,Standard,1,LayaDesk,Chat,2026-09-24T05:02:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-R005,Tax ID missing,Could you add our tax ID to the latest invoice and send an updated copy?,CUS-0003,Standard,5,LayaDesk,Chat,2026-09-23T08:55:00+00:00,Billing,Payment Problem,Low,False,False,False
BAL-A035,Annual billing question,Can you explain when the annual renewal will be billed and what the renewal includes?,CUS-B035,Standard,2,LayaDesk,Email,2026-09-24T04:55:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A037,Annual billing question,Can you explain when the annual renewal will be billed and which users it covers?,CUS-B037,Standard,1,LayaDesk,Chat,2026-09-24T04:41:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A019,Annual renewal billing,Can you explain when the annual renewal will be charged and what it covers?,CUS-B019,Standard,1,LayaDesk,Chat,2026-09-24T06:47:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-R002,Invoice total looks wrong,Our invoice is higher than the agreed amount. Can you explain each line item?,CUS-0035,Standard,2,LayaDesk,Chat,2026-09-23T09:34:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A002,Annual billing question,Can you explain when our annual renewal will be billed and what it covers?,CUS-B002,Standard,2,LayaDesk,Email,2026-09-24T08:46:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-R045,Help center link,Please point me to the help center article about ticket tags.,CUS-0035,Standard,1,LayaDesk,Web,2026-09-22T15:35:00+00:00,General Support,Product Question,Low,False,False,False
BAL-R003,Payment failed at checkout,My company card keeps being declined although the bank says it is active.,CUS-0052,Pro,3,LayaDesk,Email,2026-09-23T09:21:00+00:00,Billing,Payment Problem,High,False,False,False
BAL-R049,Status page location,Where do you publish incident updates and service status?,CUS-0020,Standard,5,LayaDesk,Chat,2026-09-22T14:43:00+00:00,General Support,Product Question,Low,False,False,False
BAL-A004,Annual billing question,Can you explain when the annual renewal will be charged and what it covers?,CUS-B004,Standard,1,LayaDesk,Chat,2026-09-24T08:32:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A041,Annual billing question,Can you explain when the annual renewal will be charged and which plan it covers?,CUS-B041,Standard,2,LayaDesk,Email,2026-09-24T04:13:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-R038,Nonprofit plan,Is there special pricing for a small nonprofit organization?,CUS-0078,Standard,2,LayaDesk,Chat,2026-09-22T19:16:00+00:00,Sales,Sales Inquiry,Low,False,False,False
BAL-A010,Annual billing question,When will the annual renewal be billed and what does it cover?,CUS-B010,Standard,1,LayaDesk,Chat,2026-09-24T07:50:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A052,Annual billing question,Can you explain when the annual renewal will be invoiced and which seats it covers?,CUS-B052,Standard,1,LayaDesk,Chat,2026-09-24T02:56:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A005,Annual billing question,Can you explain when the annual subscription renewal will be billed and what it covers?,CUS-B005,Standard,2,LayaDesk,Email,2026-09-24T08:25:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A044,Annual billing question,Can you explain when the annual renewal will be charged and what the charge includes?,CUS-B044,Standard,2,LayaDesk,Email,2026-09-24T03:52:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-R037,Compare plans,What is included in Pro versus Enterprise?,CUS-0061,Standard,1,LayaDesk,Web,2026-09-22T19:29:00+00:00,Sales,Sales Inquiry,Low,False,False,False
BAL-A040,Annual billing question,Can you explain when the annual renewal will be charged and which seats it covers?,CUS-B040,Standard,1,LayaDesk,Chat,2026-09-24T04:20:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A070,Annual renewal billing,Could you clarify when the annual renewal will be billed and which services it covers?,CUS-B070,Standard,0,LayaDesk,Web,2026-09-24T00:50:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A067,Annual renewal billing,Can you explain when the yearly renewal will be billed and what our payment covers?,CUS-B067,Standard,4,LayaDesk,Chat,2026-09-24T01:11:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A059,Annual renewal billing,Can you explain when the yearly renewal will be billed and what the renewal includes?,CUS-B059,Standard,1,LayaDesk,Email,2026-09-24T02:07:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-R006,Charged after cancellation,The account was cancelled last week but I was charged again. Refund this payment.,CUS-0020,Pro,0,LayaDesk,Email,2026-09-23T08:42:00+00:00,Billing,Refund Request,High,True,True,True
BAL-A029,Annual renewal billing,Can you explain when the annual renewal will be billed and what it covers for our team?,CUS-B029,Standard,2,LayaDesk,Email,2026-09-24T05:37:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A062,Annual billing question,Could you confirm when the annual renewal will be charged and which workspace it covers?,CUS-B062,Pro,3,LayaDesk,Email,2026-09-24T01:46:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A075,Annual renewal billing,Could you clarify when the annual renewal will be billed and what the invoice includes?,CUS-B075,Standard,4,LayaDesk,Email,2026-09-24T00:15:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A069,Annual billing question,Could you clarify when the annual renewal will be billed and which features it covers?,CUS-B069,Standard,4,LayaDesk,Web,2026-09-24T00:57:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-R042,Feature suggestion: dark mode,It would be great to have a dark theme for the dashboard.,CUS-0067,Standard,4,LayaDesk,Web,2026-09-22T16:14:00+00:00,General Support,Feature Request,Low,False,False,False
BAL-A066,Annual renewal billing,Could you confirm when the annual renewal will be charged and what it covers for our team?,CUS-B066,Standard,5,LayaDesk,Email,2026-09-24T01:18:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A022,Annual renewal billing,Can you explain when the annual renewal will be billed and which seats it covers?,CUS-B022,Standard,1,LayaDesk,Chat,2026-09-24T06:26:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A007,Annual billing question,Can you explain when the annual renewal will be billed and which seats it covers?,CUS-B007,Standard,1,LayaDesk,Chat,2026-09-24T08:11:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A061,Annual billing question,When will the annual renewal be billed and which features it covers?,CUS-B061,Standard,5,LayaDesk,Web,2026-09-24T01:53:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-R026,Cancel subscription,Please cancel our subscription at the end of the current term.,CUS-0036,Standard,4,LayaDesk,Web,2026-09-23T00:02:00+00:00,Account Support,Cancellation,Medium,False,True,False
BAL-A001,Annual billing question,Can you explain when the annual renewal will be billed and what it covers?,CUS-B001,Standard,1,LayaDesk,Chat,2026-09-24T08:53:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A050,Annual billing question,Can you explain when the annual renewal will be invoiced and what it covers?,CUS-B050,Standard,2,LayaDesk,Email,2026-09-24T03:10:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A008,Annual billing question,Can you explain when the annual renewal will be billed and which plan it covers?,CUS-B008,Standard,2,LayaDesk,Email,2026-09-24T08:04:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A054,Annual billing question,Can you explain when the annual renewal will be invoiced and what is included?,CUS-B054,Standard,0,LayaDesk,Web,2026-09-24T02:42:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-R017,Search results missing,Search does not show tickets created today even though they appear in the queue.,CUS-0045,Pro,3,LayaDesk,Email,2026-09-23T04:09:00+00:00,Technical Support,Bug Report,Medium,False,False,False
BAL-A045,Annual billing question,Can you explain when the annual renewal will be charged and what our payment covers?,CUS-B045,Standard,0,LayaDesk,Web,2026-09-24T03:45:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A009,Annual billing question,Can you explain when the annual renewal will be billed and what is included?,CUS-B009,Standard,0,LayaDesk,Web,2026-09-24T07:57:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A048,Annual billing question,Can you explain when the annual renewal will be charged and which users it covers?,CUS-B048,Standard,0,LayaDesk,Web,2026-09-24T03:24:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-R030,Change contact email,Please update the contact email for our account from the old address.,CUS-0021,Standard,2,LayaDesk,Chat,2026-09-22T23:10:00+00:00,Account Support,Account Change,Low,False,False,False
BAL-R013,Webhook delivery failures,Our order webhooks are returning 500 errors since this morning.,CUS-0060,Standard,5,LayaDesk,Chat,2026-09-23T05:01:00+00:00,Technical Support,Bug Report,High,False,False,False
BAL-A015,Annual billing question,Can you explain when the annual renewal will be billed and what it covers for our account?,CUS-B015,Standard,0,LayaDesk,Web,2026-09-24T07:15:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A063,Annual renewal billing,Please let me know when the annual renewal will be billed and which services it covers?,CUS-B063,Standard,4,LayaDesk,Chat,2026-09-24T01:39:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-R039,Annual contract quote,Please provide a formal annual quote for 50 users and SSO.,CUS-0012,Pro,3,LayaDesk,Email,2026-09-22T19:03:00+00:00,Sales,Sales Inquiry,Medium,False,False,False
BAL-A027,Annual renewal billing,Could you tell me when the annual renewal will be billed and what it includes?,CUS-B027,Standard,0,LayaDesk,Web,2026-09-24T05:51:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-R048,Feature request: custom fields,We need custom fields on ticket forms for internal reporting.,CUS-0003,Enterprise,4,LayaDesk,Web,2026-09-22T14:56:00+00:00,General Support,Feature Request,Low,False,False,False
BAL-A073,Annual billing question,Could you confirm when the annual renewal will be charged and which plan it covers?,CUS-B073,Standard,1,LayaDesk,Email,2026-09-24T00:29:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A031,Annual billing question,Can you explain when the annual renewal will be billed and which services it covers?,CUS-B031,Standard,1,LayaDesk,Chat,2026-09-24T05:23:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A074,Annual renewal billing,Could you confirm when the annual renewal will be charged and which services it covers?,CUS-B074,Standard,2,LayaDesk,Email,2026-09-24T00:22:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A053,Annual billing question,Can you explain when the annual renewal will be invoiced and which plan it covers?,CUS-B053,Standard,2,LayaDesk,Email,2026-09-24T02:49:00+00:00,Billing,Payment Problem,Medium,False,False,False
