ticket_id,subject,body,customer_id,customer_tier,previous_ticket_count,product,source_channel,created_at,department,intent,urgency,refund,churn,escalation
BAL-A011,Annual billing question,"What date will the annual renewal be billed, and what does the charge cover?",CUS-B011,Standard,2,LayaDesk,Email,2026-09-24T07:43:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R011,Production API down,Our production API has been down for 45 minutes and customers cannot checkout.,CUS-0026,Pro,3,LayaDesk,Email,2026-09-23T05:27:00+00:00,Technical Support,Bug Report,Critical,false,false,true
BAL-A012,Annual billing question,Could you tell me when the annual renewal will be billed and what it includes?,CUS-B012,Standard,0,LayaDesk,Web,2026-09-24T07:36:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R012,Dashboard won't load,The dashboard stays blank after login on Chrome. I can reproduce it every time.,CUS-0043,Standard,4,LayaDesk,Web,2026-09-23T05:14:00+00:00,Technical Support,Bug Report,High,false,false,false
BAL-A013,Annual billing question,Please explain when the annual renewal will be billed and what it covers.,CUS-B013,Standard,1,LayaDesk,Chat,2026-09-24T07:29:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R013,Webhook delivery failures,Our order webhooks are returning 500 errors since this morning.,CUS-0060,Standard,5,LayaDesk,Chat,2026-09-23T05:01:00+00:00,Technical Support,Bug Report,High,false,false,false
BAL-A014,Annual billing question,Can you explain when the annual renewal will be billed and what it covers for our team?,CUS-B014,Standard,2,LayaDesk,Email,2026-09-24T07:22:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R014,Mobile app crashes,The Android app crashes when I open the reports tab.,CUS-0077,Enterprise,0,LayaDesk,Email,2026-09-23T04:48:00+00:00,Technical Support,Bug Report,Medium,false,false,false
BAL-A015,Annual billing question,Can you explain when the annual renewal will be billed and what it covers for our account?,CUS-B015,Standard,0,LayaDesk,Web,2026-09-24T07:15:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R015,Export stuck,CSV exports have been stuck at 0% for the last hour.,CUS-0011,Standard,1,LayaDesk,Web,2026-09-23T04:35:00+00:00,Technical Support,Bug Report,Medium,false,false,false
BAL-A016,Annual renewal billing,Can you explain when the annual renewal will be billed and what it covers?,CUS-B016,Standard,1,LayaDesk,Chat,2026-09-24T07:08:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R016,Integration timeout,The Salesforce integration times out on every sync job.,CUS-0028,Standard,2,LayaDesk,Chat,2026-09-23T04:22:00+00:00,Technical Support,Bug Report,High,false,false,false
BAL-A019,Annual renewal billing,Can you explain when the annual renewal will be charged and what it covers?,CUS-B019,Standard,1,LayaDesk,Chat,2026-09-24T06:47:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R017,Search results missing,Search does not show tickets created today even though they appear in the queue.,CUS-0045,Pro,3,LayaDesk,Email,2026-09-23T04:09:00+00:00,Technical Support,Bug Report,Medium,false,false,false
BAL-A020,Annual renewal billing,Can you explain when the annual subscription renewal will be billed and what it covers?,CUS-B020,Standard,2,LayaDesk,Email,2026-09-24T06:40:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R018,Email notifications delayed,Ticket notification emails are arriving several hours late.,CUS-0062,Standard,4,LayaDesk,Web,2026-09-23T03:56:00+00:00,Technical Support,Bug Report,Medium,false,false,false
BAL-A021,Annual renewal billing,Can you explain when the annual renewal will be billed and what services it covers?,CUS-B021,Standard,0,LayaDesk,Web,2026-09-24T06:33:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R019,Checkout outage,Checkout is failing for all of our customers in production right now.,CUS-0079,Standard,5,LayaDesk,Chat,2026-09-23T03:43:00+00:00,Technical Support,Bug Report,Critical,false,false,true
BAL-A022,Annual renewal billing,Can you explain when the annual renewal will be billed and which seats it covers?,CUS-B022,Standard,1,LayaDesk,Chat,2026-09-24T06:26:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R020,Report chart error,The weekly report chart shows an error when filtering by team.,CUS-0013,Pro,0,LayaDesk,Email,2026-09-23T03:30:00+00:00,Technical Support,Bug Report,Low,false,false,false
BAL-A023,Annual renewal billing,Can you explain when the annual renewal will be billed and which plan it covers?,CUS-B023,Standard,2,LayaDesk,Email,2026-09-24T06:19:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R021,Reset password link expired,Every password reset link says expired immediately after I request it.,CUS-0034,Standard,5,LayaDesk,Chat,2026-09-23T01:07:00+00:00,Account Support,Login Problem,High,false,false,false
BAL-A025,Annual renewal billing,When will the annual renewal be billed and what does it cover?,CUS-B025,Standard,1,LayaDesk,Chat,2026-09-24T06:05:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R022,Change profile picture,How can I change my profile picture in account settings?,CUS-0051,Pro,0,LayaDesk,Email,2026-09-23T00:54:00+00:00,Account Support,Account Change,Low,false,false,false
BAL-A026,Annual renewal billing,"What date will the annual renewal be billed, and what does the charge cover?",CUS-B026,Standard,2,LayaDesk,Email,2026-09-24T05:58:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R023,Cannot sign in,I cannot log in after changing my email address yesterday.,CUS-0068,Standard,1,LayaDesk,Web,2026-09-23T00:41:00+00:00,Account Support,Login Problem,High,false,false,false
BAL-A027,Annual renewal billing,Could you tell me when the annual renewal will be billed and what it includes?,CUS-B027,Standard,0,LayaDesk,Web,2026-09-24T05:51:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R024,Update company name,Please help change the company name shown on our workspace profile.,CUS-0002,Standard,2,LayaDesk,Chat,2026-09-23T00:28:00+00:00,Account Support,Account Change,Low,false,false,false
BAL-A029,Annual renewal billing,Can you explain when the annual renewal will be billed and what it covers for our team?,CUS-B029,Standard,2,LayaDesk,Email,2026-09-24T05:37:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R025,Remove former employee,A former employee still has access. Please help revoke their account today.,CUS-0019,Pro,3,LayaDesk,Email,2026-09-23T00:15:00+00:00,Account Support,Account Change,High,false,false,true
BAL-A031,Annual billing question,Can you explain when the annual renewal will be billed and which services it covers?,CUS-B031,Standard,1,LayaDesk,Chat,2026-09-24T05:23:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R026,Cancel subscription,Please cancel our subscription at the end of the current term.,CUS-0036,Standard,4,LayaDesk,Web,2026-09-23T00:02:00+00:00,Account Support,Cancellation,Medium,false,true,false
BAL-A032,Annual billing question,Can you explain when the annual renewal will be billed and which features it covers?,CUS-B032,Standard,2,LayaDesk,Email,2026-09-24T05:16:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R027,Authenticator lost,I replaced my phone and cannot use my old two-factor authentication codes.,CUS-0053,Standard,5,LayaDesk,Chat,2026-09-22T23:49:00+00:00,Account Support,Login Problem,High,false,false,false
BAL-A033,Annual billing question,Can you explain when the annual renewal will be billed and what the charge includes?,CUS-B033,Standard,0,LayaDesk,Web,2026-09-24T05:09:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R028,Transfer ownership,The current workspace owner left. We need to transfer ownership to a new admin.,CUS-0070,Enterprise,0,LayaDesk,Email,2026-09-22T23:36:00+00:00,Account Support,Account Change,Medium,false,false,false
BAL-A034,Annual billing question,Can you explain when the annual renewal will be billed and what our payment covers?,CUS-B034,Standard,1,LayaDesk,Chat,2026-09-24T05:02:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R029,Delete old workspace,How do I close an unused workspace after exporting the data?,CUS-0004,Standard,1,LayaDesk,Web,2026-09-22T23:23:00+00:00,Account Support,Account Change,Low,false,false,false
BAL-A035,Annual billing question,Can you explain when the annual renewal will be billed and what the renewal includes?,CUS-B035,Standard,2,LayaDesk,Email,2026-09-24T04:55:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R030,Change contact email,Please update the contact email for our account from the old address.,CUS-0021,Standard,2,LayaDesk,Chat,2026-09-22T23:10:00+00:00,Account Support,Account Change,Low,false,false,false
BAL-A036,Annual billing question,Can you explain when the annual renewal will be billed and which workspace it covers?,CUS-B036,Standard,0,LayaDesk,Web,2026-09-24T04:48:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R031,Enterprise pricing,Could you send pricing for an enterprise plan with 200 agents?,CUS-0042,Standard,1,LayaDesk,Web,2026-09-22T20:47:00+00:00,Sales,Sales Inquiry,Medium,false,false,false
BAL-A037,Annual billing question,Can you explain when the annual renewal will be billed and which users it covers?,CUS-B037,Standard,1,LayaDesk,Chat,2026-09-24T04:41:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R032,Book a product demo,Our operations team would like a live product demo next week.,CUS-0059,Standard,2,LayaDesk,Chat,2026-09-22T20:34:00+00:00,Sales,Sales Inquiry,Low,false,false,false
BAL-A038,Annual billing question,Can you explain when the annual renewal will be billed and what the invoice includes?,CUS-B038,Standard,2,LayaDesk,Email,2026-09-24T04:34:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R033,Trial extension,Can you extend our trial by one week while we finish testing?,CUS-0076,Pro,3,LayaDesk,Email,2026-09-22T20:21:00+00:00,Sales,Sales Inquiry,Medium,false,false,false
BAL-A039,Annual billing question,Can you explain when the annual renewal will be charged and which services it covers?,CUS-B039,Standard,0,LayaDesk,Web,2026-09-24T04:27:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R034,Volume discount,Do you offer a discount for more than 100 seats?,CUS-0010,Enterprise,4,LayaDesk,Web,2026-09-22T20:08:00+00:00,Sales,Sales Inquiry,Low,false,false,false
BAL-A040,Annual billing question,Can you explain when the annual renewal will be charged and which seats it covers?,CUS-B040,Standard,1,LayaDesk,Chat,2026-09-24T04:20:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R035,Security questionnaire,"Before buying, procurement needs your security questionnaire and compliance details.",CUS-0027,Standard,5,LayaDesk,Chat,2026-09-22T19:55:00+00:00,Sales,Sales Inquiry,Medium,false,false,false
BAL-A041,Annual billing question,Can you explain when the annual renewal will be charged and which plan it covers?,CUS-B041,Standard,2,LayaDesk,Email,2026-09-24T04:13:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R036,Contract deadline,We need a signed quote by Friday or procurement cannot approve this quarter.,CUS-0044,Pro,0,LayaDesk,Email,2026-09-22T19:42:00+00:00,Sales,Sales Inquiry,High,false,false,false
BAL-A042,Annual billing question,Can you explain when the annual renewal will be charged and what is included?,CUS-B042,Standard,0,LayaDesk,Web,2026-09-24T04:06:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R037,Compare plans,What is included in Pro versus Enterprise?,CUS-0061,Standard,1,LayaDesk,Web,2026-09-22T19:29:00+00:00,Sales,Sales Inquiry,Low,false,false,false
BAL-A043,Annual billing question,Can you explain when the annual renewal will be charged and which features it covers?,CUS-B043,Standard,1,LayaDesk,Chat,2026-09-24T03:59:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R038,Nonprofit plan,Is there special pricing for a small nonprofit organization?,CUS-0078,Standard,2,LayaDesk,Chat,2026-09-22T19:16:00+00:00,Sales,Sales Inquiry,Low,false,false,false
BAL-A044,Annual billing question,Can you explain when the annual renewal will be charged and what the charge includes?,CUS-B044,Standard,2,LayaDesk,Email,2026-09-24T03:52:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R039,Annual contract quote,Please provide a formal annual quote for 50 users and SSO.,CUS-0012,Pro,3,LayaDesk,Email,2026-09-22T19:03:00+00:00,Sales,Sales Inquiry,Medium,false,false,false
BAL-A045,Annual billing question,Can you explain when the annual renewal will be charged and what our payment covers?,CUS-B045,Standard,0,LayaDesk,Web,2026-09-24T03:45:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R040,Purchase order process,Can our company buy through a purchase order instead of a card?,CUS-0029,Standard,4,LayaDesk,Web,2026-09-22T18:50:00+00:00,Sales,Sales Inquiry,Low,false,false,false
BAL-A046,Annual billing question,Can you explain when the annual renewal will be charged and what the renewal includes?,CUS-B046,Standard,1,LayaDesk,Chat,2026-09-24T03:38:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R041,Getting started guide,Where can I find a beginner guide for setting up my first support queue?,CUS-0050,Pro,3,LayaDesk,Email,2026-09-22T16:27:00+00:00,General Support,Product Question,Low,false,false,false
BAL-A047,Annual billing question,Can you explain when the annual renewal will be charged and which workspace it covers?,CUS-B047,Standard,2,LayaDesk,Email,2026-09-24T03:31:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R042,Feature suggestion: dark mode,It would be great to have a dark theme for the dashboard.,CUS-0067,Standard,4,LayaDesk,Web,2026-09-22T16:14:00+00:00,General Support,Feature Request,Low,false,false,false
BAL-A048,Annual billing question,Can you explain when the annual renewal will be charged and which users it covers?,CUS-B048,Standard,0,LayaDesk,Web,2026-09-24T03:24:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R043,Keyboard shortcuts,Is there a list of keyboard shortcuts for ticket navigation?,CUS-0001,Standard,5,LayaDesk,Chat,2026-09-22T16:01:00+00:00,General Support,Product Question,Low,false,false,false
BAL-A049,Annual billing question,Can you explain when the annual renewal will be charged and what the invoice includes?,CUS-B049,Standard,1,LayaDesk,Chat,2026-09-24T03:17:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R044,Suggest saved views,Could you add shared saved views for teams in a future release?,CUS-0018,Pro,0,LayaDesk,Email,2026-09-22T15:48:00+00:00,General Support,Feature Request,Low,false,false,false
BAL-A050,Annual billing question,Can you explain when the annual renewal will be invoiced and what it covers?,CUS-B050,Standard,2,LayaDesk,Email,2026-09-24T03:10:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R045,Help center link,Please point me to the help center article about ticket tags.,CUS-0035,Standard,1,LayaDesk,Web,2026-09-22T15:35:00+00:00,General Support,Product Question,Low,false,false,false
BAL-A051,Annual billing question,Can you explain when the annual renewal will be invoiced and which services it covers?,CUS-B051,Standard,0,LayaDesk,Web,2026-09-24T03:03:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R046,Training resources,Do you have training videos for new support agents?,CUS-0052,Standard,2,LayaDesk,Chat,2026-09-22T15:22:00+00:00,General Support,Product Question,Low,false,false,false
BAL-A052,Annual billing question,Can you explain when the annual renewal will be invoiced and which seats it covers?,CUS-B052,Standard,1,LayaDesk,Chat,2026-09-24T02:56:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R047,Feedback on navigation,The new navigation feels confusing. I would like to share feedback with the product team.,CUS-0069,Pro,3,LayaDesk,Email,2026-09-22T15:09:00+00:00,General Support,Other,Low,false,false,false
BAL-A053,Annual billing question,Can you explain when the annual renewal will be invoiced and which plan it covers?,CUS-B053,Standard,2,LayaDesk,Email,2026-09-24T02:49:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R048,Feature request: custom fields,We need custom fields on ticket forms for internal reporting.,CUS-0003,Enterprise,4,LayaDesk,Web,2026-09-22T14:56:00+00:00,General Support,Feature Request,Low,false,false,false
BAL-A054,Annual billing question,Can you explain when the annual renewal will be invoiced and what is included?,CUS-B054,Standard,0,LayaDesk,Web,2026-09-24T02:42:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R049,Status page location,Where do you publish incident updates and service status?,CUS-0020,Standard,5,LayaDesk,Chat,2026-09-22T14:43:00+00:00,General Support,Product Question,Low,false,false,false
BAL-A055,Annual billing question,Can you explain when the annual renewal will be invoiced and which features it covers?,CUS-B055,Standard,1,LayaDesk,Chat,2026-09-24T02:35:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R050,How routing works,Can you explain how an incoming ticket reaches the right queue?,CUS-0037,Pro,0,LayaDesk,Email,2026-09-22T14:30:00+00:00,General Support,Product Question,Low,false,false,false
